participant	content	token	lemma	tagged_penn_token	tagged_penn_lemma	file
2	 we just want to make sure that we're capturing the right stuff	[we, just, want, to, make, sure, that, we, are, capturing, the, right, stuff]	[we, just, want, to, make, sure, that, we, be, capture, the, right, stuff]	[(we, PRP), (just, RB), (want, VBP), (to, TO), (make, VB), (sure, JJ), (that, IN), (we, PRP), (are, VBP), (capturing, VBG), (the, DT), (right, NN), (stuff, NN)]	[(we, PRP), (just, RB), (want, VBP), (to, TO), (make, VB), (sure, JJ), (that, IN), (we, PRP), (be, VB), (capture, RB), (the, DT), (right, NN), (stuff, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_10-condition_2.txt
1	we don't really care about what we're saying right now	[we, do, not, really, care, about, what, we, are, saying, right, now]	[we, do, not, really, care, about, what, we, be, say, right, now]	[(we, PRP), (do, VBP), (not, RB), (really, RB), (care, VB), (about, IN), (what, WP), (we, PRP), (are, VBP), (saying, VBG), (right, RB), (now, RB)]	[(we, PRP), (do, VBP), (not, RB), (really, RB), (care, VB), (about, IN), (what, WP), (we, PRP), (be, VBP), (say, VBP), (right, RB), (now, RB)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_10-condition_2.txt
2	this is just some sample text	[this, is, just, some, sample, text]	[this, be, just, some, sample, text]	[(this, DT), (is, VBZ), (just, RB), (some, DT), (sample, JJ), (text, NN)]	[(this, DT), (be, NN), (just, RB), (some, DT), (sample, JJ), (text, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_1.txt
1	we don't really care about what we're saying right now	[we, do, not, really, care, about, what, we, are, saying, right, now]	[we, do, not, really, care, about, what, we, be, say, right, now]	[(we, PRP), (do, VBP), (not, RB), (really, RB), (care, VB), (about, IN), (what, WP), (we, PRP), (are, VBP), (saying, VBG), (right, RB), (now, RB)]	[(we, PRP), (do, VBP), (not, RB), (really, RB), (care, VB), (about, IN), (what, WP), (we, PRP), (be, VBP), (say, VBP), (right, RB), (now, RB)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_1.txt
2	let's test some more	[let, is, test, some, more]	[let, be, test, some, more]	[(let, NN), (is, VBZ), (test, NN), (some, DT), (more, RBR)]	[(let, NN), (be, VB), (test, NN), (some, DT), (more, RBR)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_1.txt
1	more testing	[more, testing]	[more, testing]	[(more, JJR), (testing, NN)]	[(more, JJR), (testing, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_1.txt
2	and more testing	[and, more, testing]	[and, more, testing]	[(and, CC), (more, JJR), (testing, NN)]	[(and, CC), (more, JJR), (testing, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_1.txt
1	what're we doing uh	[what, are, we, doing, up]	[what, be, we, do, up]	[(what, WP), (are, VBP), (we, PRP), (doing, VBG), (up, RP)]	[(what, WP), (be, VB), (we, PRP), (do, VBP), (up, RP)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_1.txt
2	 we just want to make sure that we're capturing the right stuff	[we, just, want, to, make, sure, that, we, are, capturing, the, right, stuff]	[we, just, want, to, make, sure, that, we, be, capture, the, right, stuff]	[(we, PRP), (just, RB), (want, VBP), (to, TO), (make, VB), (sure, JJ), (that, IN), (we, PRP), (are, VBP), (capturing, VBG), (the, DT), (right, NN), (stuff, NN)]	[(we, PRP), (just, RB), (want, VBP), (to, TO), (make, VB), (sure, JJ), (that, IN), (we, PRP), (be, VB), (capture, RB), (the, DT), (right, NN), (stuff, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_1.txt
1	more testing	[more, testing]	[more, testing]	[(more, JJR), (testing, NN)]	[(more, JJR), (testing, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_2.txt
2	and more testing	[and, more, testing]	[and, more, testing]	[(and, CC), (more, JJR), (testing, NN)]	[(and, CC), (more, JJR), (testing, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_2.txt
1	what're we doing uh	[what, are, we, doing, up]	[what, be, we, do, up]	[(what, WP), (are, VBP), (we, PRP), (doing, VBG), (up, RP)]	[(what, WP), (be, VB), (we, PRP), (do, VBP), (up, RP)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_2.txt
2	 we just want to make sure that we're capturing the right stuff this is just some sample text	[we, just, want, to, make, sure, that, we, are, capturing, the, right, stuff, this, is, just, some, sample, text]	[we, just, want, to, make, sure, that, we, be, capture, the, right, stuff, this, be, just, some, sample, text]	[(we, PRP), (just, RB), (want, VBP), (to, TO), (make, VB), (sure, JJ), (that, IN), (we, PRP), (are, VBP), (capturing, VBG), (the, DT), (right, NN), (stuff, NN), (this, DT), (is, VBZ), (just, RB), (some, DT), (sample, JJ), (text, NN)]	[(we, PRP), (just, RB), (want, VBP), (to, TO), (make, VB), (sure, JJ), (that, IN), (we, PRP), (be, VB), (capture, RB), (the, DT), (right, NN), (stuff, NN), (this, DT), (be, NN), (just, RB), (some, DT), (sample, JJ), (text, NN)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_2.txt
1	we don't really care about what we're saying right now	[we, do, not, really, care, about, what, we, are, saying, right, now]	[we, do, not, really, care, about, what, we, be, say, right, now]	[(we, PRP), (do, VBP), (not, RB), (really, RB), (care, VB), (about, IN), (what, WP), (we, PRP), (are, VBP), (saying, VBG), (right, RB), (now, RB)]	[(we, PRP), (do, VBP), (not, RB), (really, RB), (care, VB), (about, IN), (what, WP), (we, PRP), (be, VBP), (say, VBP), (right, RB), (now, RB)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_2.txt
2	let's test some more	[let, is, test, some, more]	[let, be, test, some, more]	[(let, NN), (is, VBZ), (test, NN), (some, DT), (more, RBR)]	[(let, NN), (be, VB), (test, NN), (some, DT), (more, RBR)]	/Users/alexandra/Dropbox/DA/DA_linguisticAlignment/working/ALIGN_NOTEBOOK_CLEAN/toy_data-original/dyad_12-condition_2.txt
