time	cosine_lexical_tok2	cosine_lexical_tok3	condition_info	cosine_lexical_lem4	cosine_lexical_tok4	cosine_lexical_lem3	cosine_syntax_penn_tok4	cosine_syntax_penn_tok3	cosine_syntax_penn_tok2	cosine_syntax_penn_lex2	cosine_syntax_penn_lex3	cosine_syntax_penn_lex4	cosine_semanticL	partner_direction	cosine_lexical_lem2
4	0.0	0.0	dyad_12-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0350495779317	2>1.0	0.0
5	0.0	0.0	dyad_12-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.571742009319	1>2.0	0.0
0	0.288675134595	0.0	dyad_12-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	1>2.0	0.288675134595
1	0.0	0.0	dyad_12-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0350495779317	2>1.0	0.0
2	0.0	0.0	dyad_12-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.592536541055	1>2.0	0.0
3	0.0710669054519	0.0	dyad_12-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.672099464307	2>1.0	0.0710669054519
4	0.0	0.0	dyad_12-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334991467175	1>2.0	0.0
0	0.288675134595	0.0	dyad_15-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	1>2.0	0.288675134595
1	0.0	0.0	dyad_15-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0350495779317	2>1.0	0.0
2	0.0	0.0	dyad_15-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.592536541055	1>2.0	0.0
3	0.0710669054519	0.0	dyad_15-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.672099464307	2>1.0	0.0710669054519
4	0.0	0.0	dyad_15-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334991467175	1>2.0	0.0
0	0.0	0.0	dyad_15-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.380414968521	2>1.0	0.0
1	0.0	0.0	dyad_15-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334991467175	1>2.0	0.0
2	0.0	0.0	dyad_15-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	2>1.0	0.0
3	0.288675134595	0.0	dyad_15-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	1>2.0	0.288675134595
4	0.0	0.0	dyad_15-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0350495779317	2>1.0	0.0
5	0.0	0.0	dyad_15-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.571742009319	1>2.0	0.0
0	0.0	0.0	dyad_13-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.571742009319	1>2.0	0.0
1	0.0870388279778	0.0	dyad_13-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66563334416	2>1.0	0.0870388279778
2	0.0	0.0	dyad_13-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334991467175	1>2.0	0.0
3	0.0	0.0	dyad_13-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40692996932	2>1.0	0.0
4	0.144337567297	0.0	dyad_13-condition_1.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.412716931091	1>2.0	0.144337567297
0	0.0	0.0	dyad_13-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.365128509693	2>1.0	0.0
1	0.707106781187	0.0	dyad_13-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1>2.0	0.707106781187
2	0.288675134595	0.0	dyad_13-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.658746022906	2>1.0	0.288675134595
3	0.0	0.0	dyad_13-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123305915444	1>2.0	0.0
4	0.0	0.0	dyad_13-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.359622228628	2>1.0	0.0
5	0.0	0.0	dyad_13-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.571742009319	1>2.0	0.0
6	0.0870388279778	0.0	dyad_13-condition_2.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66563334416	2>1.0	0.0870388279778
